Latitude,Longitude,country,arab_perc
53.69,-2.72,England,21.6481
51.23,-2.71,England,7.1863
51.43,-2.66,England,7.3636
53.31,-2.65,England,43.5859
51.64,-2.65,England,13.3844
53.41,-2.63,England,25.2817
51.42,-2.61,England,0.619
51.49,-2.60,England,0.1348
53.50,-2.58,England,43.6049
51.46,-2.57,England,0.4699
53.03,-2.56,England,17.2924
53.42,-2.56,England,29.2875
51.55,-2.56,England,11.743
51.05,-2.56,England,19.3432
53.58,-2.56,England,23.46
51.46,-2.55,England,0.6306
53.41,-2.55,England,12.851
51.53,-2.55,England,3.5139
53.42,-2.53,England,15.851
53.40,-2.52,England,23.9157
51.48,-2.52,England,2.8624
53.25,-2.51,England,3.8953
52.70,-2.51,England,17.2653
51.50,-2.49,England,2.7741
51.54,-2.48,England,36.809
53.06,-2.47,England,5.7075
53.38,-2.47,England,38.5406
53.38,-2.47,England,36.9491
53.53,-2.46,England,0.5572
51.38,-2.39,England,11.2532
51.37,-2.38,England,1.9786
52.76,-2.37,England,42.4761
52.76,-2.37,England,33.1232
52.09,-2.33,England,2.0606
51.88,-2.29,England,56.9388
53.00,-2.28,England,6.6711
53.49,-2.28,England,1.4041
53.44,-2.28,England,0.1928
53.42,-2.26,England,0.5762
51.34,-2.25,England,18.1536
53.33,-2.25,England,0.2442
52.78,-2.24,England,30.5404
52.19,-2.24,England,19.4155
53.47,-2.24,England,0.1095
53.47,-2.23,England,0.1534
53.46,-2.23,England,0.1534
51.86,-2.23,England,2.2514
53.46,-2.22,England,0.1534
53.40,-2.22,England,0.0441
53.33,-2.21,England,2.5118
52.99,-2.21,England,0.3101
52.18,-2.21,England,4.7537
53.06,-2.21,England,1.989
53.33,-2.21,England,3.108
53.00,-2.21,England,0.1786
51.70,-2.19,England,1.1541
51.70,-2.19,England,1.0738
53.38,-2.18,England,2.8333
52.20,-2.17,England,25.4874
53.51,-2.17,England,0.4709
53.26,-2.17,England,2.41
53.39,-2.16,England,2.7815
53.36,-2.16,England,1.0667
52.35,-2.16,England,52.3635
52.26,-2.15,England,14.6548
52.37,-2.15,England,52.5595
52.26,-2.15,England,12.8533
53.02,-2.14,England,4.2329
57.14,-2.14,Scotland,1.8522
52.60,-2.13,England,0.718
51.18,-2.13,England,44.6023
52.81,-2.12,England,15.7354
50.69,-2.11,England,0.4271
55.03,-2.10,England,39.9847
53.16,-2.09,England,0.7934
53.41,-2.08,England,0.6539
52.78,-2.07,England,26.6092
52.78,-2.07,England,26.3177
51.94,-2.05,England,20.1014
52.50,-2.05,England,6.2619
52.36,-2.04,England,20.5642
54.97,-2.02,England,43.3092
52.34,-1.93,England,13.6554
52.75,-1.92,England,11.8613
55.30,-1.91,England,2.0514
52.41,-1.91,England,0.7056
